;Jan-22;Feb-22;Mar-22;Apr-22;May-22;Jun-22;Jul-22;Aug-22;Sep-22;Oct-22;Nov-22;Dec-22;Jan-23;Feb-23;Mar-23;Apr-23;May-23;Jun-23;Jul-23;Aug-23;Sep-23;Oct-23;Nov-23;Dec-23;Jan-24;Feb-24;Mar-24;Apr-24;May-24;Jun-24;Jul-24;Aug-24;Sep-24;Oct-24;Nov-24;Dec-24
ACEH;562191;528010;623335;465265;960222;629751;822982;573941;547574;555653;511802;703231;717217;552783;598842;772003;807976;713394;911767;636139;588953;609838;649208;746349;1081919;988563;977399;1312395;1056737;1121373;1011238;964321;1181744;1089633;1064882;1721624
SUMATERA UTARA;1921778;1580717;1764578;1402279;2819981;1884772;2121973;1627724;1597977;1709202;1463419;1997896;2579356;1755426;1728767;2429645;2299900;2281863;2373862;1868291;1812580;1935072;1859867;2387174;3934845;3404211;3151675;3460417;3441857;3372608;3408206;3372536;3907777;3338507;3282438;4169674
SUMATERA BARAT;792274;721391;911697;612294;1291773;897078;1035751;829404;806251;881965;807606;1162684;1144057;928742;968659;1078994;1179900;1172495;1227983;1010552;1009265;1042337;894678;1165678;1626935;1610621;1266491;1420310;1280094;1529458;1608782;1405802;1486716;1427075;1416489;1752083
RIAU;706169;603025;696378;701020;1098858;716953;839437;676466;705930;710646;663521;966008;1049070;754324;771198;1135378;1045392;1029000;1138660;932629;894379;950202;816422;1041078;1735350;1587588;1496958;2080509;1568369;1552621;1583629;1500973;1656622;1517565;1440675;1780158
JAMBI;310782;269672;306463;304722;505035;324279;372598;281997;281449;288558;265456;380994;412204;288412;296982;434081;441147;436567;467650;383816;368758;385164;360892;429945;741052;675155;649798;954987;704969;719358;705689;683340;771634;767808;751904;998556
SUMATERA SELATAN;656735;523427;659864;562650;935769;668155;787356;635681;634905;641659;572451;809954;890809;682420;681584;852145;910699;943718;1058340;885872;866837;904719;827240;915242;1580053;1398899;1350139;1869157;1438593;1470817;1449100;1438726;1639793;1635045;1587669;2062915
BENGKULU;163243;131747;163494;137489;275055;166987;185468;147782;149412;149350;132822;186149;202639;152573;157805;232020;213621;214889;237589;188991;184005;192386;193018;210448;369567;324525;309839;476760;353140;372200;388032;357207;389084;366633;363291;622945
LAMPUNG;868569;692881;885918;694637;1294496;914577;1047723;814068;857764;851252;798329;1025363;1150037;943668;909180;1175047;1232696;1227576;1328185;1101053;1095330;1131906;949429;1203553;1713476;1469073;1392326;1729965;1608538;1710187;1546462;1435569;1576863;1539987;1518834;1993026
KEP. BANGKA BELITUNG;112963;97970;133170;124013;176363;140588;153840;119951;123869;131100;116140;156033;167336;123754;134009;145833;178569;185921;214356;163500;172019;175878;153019;177339;268354;246245;237090;314904;256159;247359;268651;236385;298223;270903;268737;411036
KEP. RIAU;54795;49101;60465;64630;80928;70786;71686;58503;59115;61365;61677;89134;70945;57923;62364;74387;86303;91226;103446;84011;79166;89935;86009;82727;275085;273861;266969;374769;267945;241744;264805;233950;280282;256292;250760;313316
