Provinsi,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Bulan13
Aceh,1081919,988563,977399,1312395,1056737,1121373,1011238,964321,1181744,1089633,1064882,1721624,13571828,
Sumatera Utara,3934845,3404211,3151675,3460417,3441857,3372608,3408206,3372536,3907777,3338507,3282438,4169674,42244751,
Sumatera Barat,1626935,1610621,1266491,1420310,1280094,1529458,1608782,1405802,1486716,1427075,1416489,1752083,17830856,
Riau,1735350,1587588,1496958,2080509,1568369,1552621,1583629,1500973,1656622,1517565,1440675,1780158,19501017,
Jambi,741052,675155,649798,954987,704969,719358,705689,683340,771634,767808,751904,998556,9124250,
Sumatera Selatan,1580053,1398899,1350139,1869157,1438593,1470817,1449100,1438726,1639793,1635045,1587669,2062915,18920906,
Bengkulu,369567,324525,309839,476760,353140,372200,388032,357207,389084,366633,363291,622945,4693223,
Lampung,1713476,1469073,1392326,1729965,1608538,1710187,1546462,1435569,1576863,1539987,1518834,1993026,19234306,
Kepulauan Bangka Belitung,268354,246245,237090,314904,256159,247359,268651,236385,298223,270903,268737,411036,3324046,
Kepulauan Riau,275085,273861,266969,374769,267945,241744,264805,233950,280282,256292,250760,313316,3299778,
DKI Jakarta,7374323,7033142,6980134,8983507,7423217,7180235,6497652,7430892,7835496,7570272,7449446,8688788,90447104,
Jawa Barat,15465871,13752823,12956755,19718778,14236758,13858574,12902001,13667933,15700901,14981152,14870221,18477127,180588894,
Jawa Tengah,12979676,10043349,11638007,13005053,10717907,10319925,9693190,9722339,10570049,10599844,10588488,11925386,131803213,
Daerah Istimewa Yogyakarta,3053388,2382379,2450885,2944628,2475278,2463938,1858275,2159779,2321171,2497860,2372564,2704880,29685025,
Jawa Timur,18331811,17518693,15963421,22350862,17528799,18962270,16255846,13931336,14497609,15288229,15428263,18825629,204882768,
Banten,4887911,4634908,4441917,6632814,4778700,4735165,4313757,4719406,5562918,5325859,5293883,6548686,61875924,
Bali,1772341,1819498,1820731,2125602,1690802,1704215,1628804,1557227,1908656,1840264,1767127,1987202,21622469,
Nusa Tenggara Barat,1218624,1138210,1122847,1349517,1193675,1233223,1223140,1294929,1436580,1269759,1218640,1437322,15136466,
Nusa Tenggara Timur,729320,641260,678000,692743,634414,622839,706635,669711,713402,677185,641526,848378,8255413,
Kalimantan Barat,719268,678117,650722,906023,675779,693868,640060,639357,751390,698473,687215,909071,8649343,
Kalimantan Tengah,652825,542363,550168,733086,558294,532251,546507,485785,481738,433024,424014,826788,6766843,
Kalimantan Selatan,1090938,906071,882973,1180971,927237,909360,916102,967196,1050672,972735,951851,1882723,12638829,
Kalimantan Timur,1088373,1003183,965479,1403880,1048385,979955,1043582,1136774,1121456,970599,968906,1365319,13095891,
Kalimantan Utara,102053,92886,91773,120433,98832,83746,96470,85395,102213,90331,89014,123539,1176685,
Sulawesi Utara,700788,635690,637119,792623,684195,677148,694095,662161,691593,678649,669308,841386,8364755,
Sulawesi Tengah,915033,798449,766676,1046335,786488,766621,757319,581131,612858,607762,608275,970022,9216969,
Sulawesi Selatan,3285197,2955610,2807427,3383023,2999185,3035617,2909773,2491954,2635931,2595745,2558976,3780868,35439306,
Sulawesi Tenggara,1231885,1164661,1068913,1458602,1102473,1140160,1055333,943185,949123,926530,919718,1094023,13054606,
Gorontalo,310532,291515,291077,383857,301067,298131,272966,265383,293341,271077,262930,374086,3615962,
Sulawesi Barat,406291,370131,364265,471339,387084,380885,385129,296379,290015,282446,272932,428584,4335480,
Maluku,202604,174109,181377,215433,165744,133587,141450,129515,143601,142725,131314,290211,2051670,
Maluku Utara,213677,191255,187592,243305,188336,162472,172857,158564,198367,200372,196870,296795,2410462,
Papua Barat,63833,45628,48588,57697,45535,33348,41018,33124,35702,35789,34511,75478,550251,
Papua Barat Daya,94110,79853,78934,88878,75900,63650,69125,57552,72966,74810,75414,139471,970663,
Papua,148142,122325,121433,129388,109262,92173,99729,86367,93375,89653,85657,217194,1394698,
Papua Selatan,29095,21381,21397,24634,20191,13809,16595,12868,12772,12000,12129,28108,224979,
Papua Tengah,65881,50891,53025,56119,48206,32264,43680,36162,45070,42482,43703,85629,603112,
Papua Pegunungan,41242,40052,36071,33908,31517,25128,28190,27036,43481,43818,43983,86864,481290,
